stock,gap_date,gap_width,gap_day_pl,revert_time,u_curve_effect,u_curve_profit,lowest_day,market_change_20d,Sector
INCY,2005-07-25,-0.10502283105022836,-0.0535714285714286,1,True,0.05111402359108777,0.0,0.03386809269162194,Health Care
INCY,2006-09-21,-0.10282258064516125,-0.022471910112359716,11,True,0.08283313325330126,8.0,0.021623252539474835,Health Care
IR,2007-12-17,-0.06767469279847527,-0.049153468050245674,4,True,0.03156893698765628,1.0,0.009130396241467942,Industrials
INTC,2006-01-18,-0.1037041719342604,-0.011805859204197633,31,False,,,0.016734651187114258,Information Technology
IP,2001-09-17,-0.05241646585814119,-0.054581447963801044,14,True,0.11561978877153986,4.0,-0.12554987516347638,Materials
IFF,2011-11-08,-0.062023668735394,-0.04295652173913045,31,False,,,0.058983050847457585,Materials
IFF,2016-02-11,-0.12855248515832085,-9.95024875622974e-05,1,True,0.062180284024480045,0.0,-0.04726298755649794,Materials
IFF,2018-05-07,-0.03670494604949859,-0.07338980575434495,31,False,,,0.006683665584917398,Materials
INTU,2003-03-21,-0.1986993566967652,-0.05051495831289865,30,True,0.13773183338400732,25.0,0.07442937479325162,Information Technology
INTU,2013-04-25,-0.1313978060585217,0.02403587443946198,1,True,0.05195697547064542,0.0,0.01184885485152809,Information Technology
INTU,2015-08-21,-0.11528363602134217,-0.019547551065231872,30,True,0.10012858839058106,3.0,-0.043309766954700124,Information Technology
ISRG,2006-07-27,-0.09636608344549125,-0.014000595770032764,1,True,0.017739025856885034,1.0,-0.004405286343612258,Health Care
ISRG,2006-10-27,-0.07970045466702336,-0.024702121476314898,27,True,0.09297553275453817,15.0,0.036289142522680784,Health Care
ISRG,2014-04-23,-0.08317942889615004,-0.03432246068025102,31,False,,,0.013436506508307744,Health Care
IPGP,2018-07-31,-0.23116362015158276,-0.0487677587706582,4,True,0.05279512566641275,1.0,0.038471673254282024,Information Technology
IRM,2013-06-07,-0.17999185321497846,0.02625152625152638,2,True,0.0199831525311068,0.0,0.008519775576643296,Real Estate
JBHT,2001-09-18,-0.1265405702844793,-0.13647058823529412,31,False,,,-0.11993283761093787,Industrials
JEC,2004-06-29,-0.1492038920831491,0.012658227848101333,23,True,0.062350579471993205,18.0,0.014468290330359235,Industrials
JEC,2009-11-17,-0.10119032689574448,-0.04915627292736613,31,False,,,0.028770510227017265,Industrials
JCI,2006-01-13,-0.09306292115981463,-0.013452131376659793,31,False,,,0.015039933616844747,Industrials
JCI,2007-07-02,-0.5382829259951055,0.008348457350272342,31,False,,,-0.006786193029490684,Industrials
JNPR,2008-01-11,-0.12156668553103178,-0.012987012987012991,1,True,0.05301439853880092,0.0,-0.05480037616482858,Information Technology
JNPR,2016-01-28,-0.10473852112493398,-0.054713804713804604,2,True,0.052708262834742434,0.0,-0.08165175785313084,Information Technology
KSU,2014-01-24,-0.1217314173846249,-0.03417143966605185,4,True,0.0570500710654593,1.0,-0.027033579827857812,Industrials
KSU,2016-11-09,-0.13366870017999355,0.028685457720129648,3,True,0.046310525578718925,0.0,0.01579364293494412,Industrials
KSS,2012-11-29,-0.10059466747722257,-0.021304347826087033,31,False,,,-0.004970338303671551,Consumer Discretionary
KR,2009-12-08,-0.12181847188474104,0.003992015968063978,5,True,0.005733815388091691,4.0,0.00022197558268599593,Consumer Staples
KR,2018-03-08,-0.06592578761762014,-0.06204081632653058,28,True,0.05285819591769159,10.0,0.06391217564870266,Consumer Staples
LB,2018-03-01,-0.09249535186042779,-0.050926960017869005,3,True,0.05859078330528807,1.0,-0.049307863691150144,Consumer Discretionary
LH,2013-12-11,-0.06626323751891083,-0.0467703607690646,31,False,,,0.0018844221105527303,Health Care
LEN,2008-09-22,-0.02717006811888123,-0.15720524017467252,31,False,,,-0.03942687747035578,Consumer Discretionary
LKQ,2015-02-26,-0.13464991023339312,0.02821576763485467,2,True,0.015548281505728272,0.0,0.04648519941555285,Consumer Discretionary
LKQ,2018-04-26,-0.1221069433359937,-0.07818181818181813,31,False,,,0.012028494686441737,Consumer Discretionary
